"Term","Course","Enrollment","MedianGrade"
"TERM","COURSE","ENRL","MEDIAN"
"13F","ECON-027-01","29","B+"
"13F","ECON-028-01","25","B+"
"13F","ECON-028-02","25","B+"
"13F","ECON-029-01","65","B+"
"13F","ECON-029-02","65","B+"
"13F","ECON-036-01","31","B+"
"13F","ECON-036-02","31","B+"
"13F","ECON-038-01","16","B+"
"13F","ECON-039-01","69","B+"
"13F","ECON-039-02","69","B+"
"13F","ECON-075-01","34","A-/B+"
"13F","ECON-075-02","34","A-/B+"
"13F","ECON-078-01","10","A"
"13F","ECON-080-01","14","A /A-"
"13F","EDUC-001-01","47","B+"
"13F","EDUC-015-01","12","A /A-"
"13F","EDUC-016-01","21","B+"
"13F","ENGL-011-01","16","B+"
"13F","ENGL-015-01","49","A"
"13F","ENGL-023-01","23","A-"
"13F","ENGL-030-01","13","B+"
"13F","ENGL-045-01","22","A-"
"13F","ENGL-047-01","34","B+"
"13F","ENGL-052-10","44","A"
"13F","ENGL-053-10","27","B+"
"13F","ENGL-053-20","48","A-"
"13F","ENGL-072-12","12","A-"
"13F","ENGL-080-01","12","A-"
"13F","ENGL-086-01","12","A"
"13F","ENGL-090-90","13","A"
"13F","ENGL-090-91","11","B+"
"13F","ENGL-091-90","13","A"
"13F","ENGL-091-91","11","A-"
"13F","ENGL-092-90","13","A"
"13F","ENGL-092-91","11","B+"
"13F","ENGS-004-01","28","A"
"13F","ENGS-012-01","21","A"
"13F","ENGS-013-01","37","B+"
"13F","ENGS-020-01","50","A-"
"13F","ENGS-021-01","59","A-"
"13F","ENGS-023-01","54","B+"
"13F","ENGS-026-01","19","B+"
"13F","ENGS-027-01","29","A"
"13F","ENGS-033-01","55","B+"
"13F","ENGS-035-01","23","A-"
"13F","ENGS-036-01","12","A-"
"13F","ENGS-037-01","55","B+"
"13F","ENGS-076-01","22","B+/B"
"13F","ENGS-089-01","41","B+"
"13F","ENGS-160-01","23","A-"
"13F","ENVS-002-01","91","B+"
"13F","ENVS-017-01","40","B+"
"13F","ENVS-018-01","31","A"
"13F","ENVS-040-90","16","B+"
"13F","ENVS-042-90","16","B+"
"13F","ENVS-060-01","30","B+"
"13F","ENVS-061-01","30","A-"
"13F","ENVS-084-90","16","A"
"13F","FILM-002-01","59","B+"
"13F","FILM-020-01","18","A-"
"13F","FILM-033-01","14","A-"
"13F","FILM-042-01","29","A-"
"13F","FILM-046-01","33","A-"
"13F","FILM-047-01","39","A"
"13F","FILM-047-02","15","A-"
"13F","FREN-001-01","13","A-"
"13F","FREN-001-02","11","A"
"13F","FREN-001-03","12","B+"
"13F","FREN-002-01","17","A"
"13F","FREN-002-02","17","A-"
"13F","FREN-002-03","15","A-"
"13F","FREN-003-02","17","B"
"13F","FREN-003-03","11","A"
"13F","FREN-008-01","17","A-"
"13F","FREN-008-02","18","A-"
"13F","FREN-010-01","16","A-"
"13F","FREN-010-02","10","A-"
"13F","FREN-023-01","10","B+"
"13F","FREN-029-90","11","A-"
"13F","FREN-030-90","11","A-"
"13F","FREN-031-90","11","A"
"13F","FREN-050-01","11","A-"
"13F","GEOG-001-01","53","A-"
"13F","GEOG-003-01","20","B+"
"13F","GEOG-006-01","40","A-"
"13F","GEOG-011-01","20","A-"
"13F","GEOG-018-01","25","A-"
"13F","GEOG-020-01","33","A-"
"13F","GEOG-031-01","15","B+"
"13F","GEOG-041-01","17","A"
"13F","GEOG-050-01","30","B+"
"13F","GEOG-090-01","24","A-"
"13F","GEOG-090-02","25","A-"
"13F","GERM-001-01","10","A"
"13F","GERM-10.-01","11","A-"
"13F","GOVT-003-01","59","B+"
"13F","GOVT-004-01","48","B+"
"13F","GOVT-005-01","48","B+"
"13F","GOVT-005-02","50","B+"
"13F","GOVT-006-01","39","A-"
"13F","GOVT-010-01","32","B+"
"13F","GOVT-010-02","37","B"
"13F","GOVT-030-01","25","B+"
"13F","GOVT-030-02","15","A-"
"13F","GOVT-040-02","19","B+"
"13F","GOVT-040-03","11","A-"
"13F","GOVT-050-01","35","B+"
"13F","GOVT-050-02","33","B+"
"13F","GOVT-053-01","34","B+"
"13F","GOVT-057-01","36","B+"
"13F","GOVT-060-01","38","B+"
"13F","GOVT-060-03","59","B+"
"13F","GOVT-066-02","33","B+"
"13F","GOVT-083-02","13","A-"
"13F","GOVT-085-01","12","A-"
"13F","GOVT-085-08","15","A-"
"13F","GOVT-085-16","15","A-"
"13F","GOVT-085-18","14","A-"
"13F","GOVT-085-21","13","A-"
"13F","GOVT-086-18","13","A-"
"13F","GOVT-090-90","18","A"
"13F","GOVT-091-90","18","A-"
"13F","GOVT-092-90","18","A"
"13F","HIST-003-01","38","B+"
"13F","HIST-005-03","19","B+"
"13F","HIST-005-04","33","A-"
"13F","HIST-005-05","32","A-"
"13F","HIST-006-01","31","B+"
"13F","HIST-008-01","34","A-"
"13F","HIST-011-01","25","B+"
"13F","HIST-014-01","67","B+"
"13F","HIST-021-01","36","B+"
"13F","HIST-024-01","22","A-"
"13F","HIST-025-02","28","B+"
"13F","HIST-032-01","29","A-"
"13F","HIST-036-01","52","B+"
"13F","HIST-04.-01","12","A-"
"13F","HIST-041-90","16","A-"
"13F","HIST-045-01","36","B+"
"13F","HIST-050-01","18","B+"
"13F","HIST-083-01","13","B+"
"13F","HIST-096-01","12","A-"
"13F","HIST-096-03","14","A-"
"13F","HUM -001-02","15","A"
"13F","HUM -001-03","15","B+"
"13F","HUM -001-04","16","A-"
"13F","INTS-016-01","40","A-"
"13F","ITAL-001-03","14","A /A-"
"13F","ITAL-003-01","10","A-/B+"
"13F","ITAL-081-01","12","A /A-"
"13F","JAPN-001-01","10","A /A-"
"13F","JAPN-061-01","20","A"
"13F","JWST-022-01","39","A"
"13F","JWST-036-01","12","A-"
"13F","LACS-043-01","19","A-"
"13F","LACS-050-02","12","A-"
"13F","LAT -001-01","14","A-"
"13F","LAT -001-02","16","A"
"13F","LAT -001-03","15","A"
"13F","LAT -022-01","12","A"
"13F","LING-001-01","60","A-"
"13F","LING-011-01","16","A-/B+"
"13F","LING-018-01","34","B+"
"13F","LING-022-01","20","A-/B+"
"13F","LING-035-01","13","A-"
"13F","LING-050-01","31","A"
"13F","M&SS-015-01","12","A"
"13F","M&SS-036-01","15","B+"
"13F","MATH-001-01","28","B+"
"13F","MATH-001-02","28","B+"
"13F","MATH-003-01","200","B /B-"
"13F","MATH-003-02","200","B /B-"
"13F","MATH-003-03","200","B /B-"
"13F","MATH-003-04","200","B /B-"
"13F","MATH-005-01","17","A-"
"13F","MATH-008-01","121","B"
"13F","MATH-008-02","121","B"
"13F","MATH-008-03","121","B"
"13F","MATH-011-01","164","B+"
"13F","MATH-011-02","164","B+"
"13F","MATH-011-03","164","B+"
"13F","MATH-011-04","164","B+"
"13F","MATH-013-01","36","B"
"13F","MATH-017-01","10","A /A-"
"13F","MATH-020-01","13","A-"
"13F","MATH-022-01","55","A-"
"13F","MATH-023-01","55","A-"
"13F","MATH-023-02","55","A-"
"13F","MATH-031-01","28","B+"
"13F","MATH-036-01","15","B+"
"13F","MATH-071-01","11","A-"
"13F","MATH-086-01","16","A"
"13F","MUS -001-01","16","A-"
"13F","MUS -004-01","30","A-"
"13F","MUS -009-01","36","A-"
"13F","MUS -020-01","18","A-"
"13F","MUS -021-01","16","A-"
"13F","MUS -051-01","25","A"
"13F","NAS -010-01","24","B+"
"13F","NAS -014-01","67","B+"
"13F","NAS -018-01","31","A"
"13F","NAS -025-01","22","B+"
"13F","NAS -030-01","14","A-"
"13F","NAS -031-01","13","A-"
"13F","NAS -032-01","48","A-"
"13F","NAS -036-01","59","B+"
"13F","NAS -042-01","17","A"
"13F","PBPL-042-01","38","B+"
"13F","PBPL-045-01","24","A-"
"13F","PBPL-052-01","25","B+"
"13F","PBPL-081-07","13","A-"
"13F","PBPL-081-09","13","A-"
"13F","PBPL-085-01","12","A /A-"
"13F","PHIL-001-01","30","B"
"13F","PHIL-003-01","51","B+"
"13F","PHIL-009-01","54","A-"
"13F","PHIL-011-01","22","B+"
"13F","PHIL-015-01","10","B+"
"13F","PHIL-034-01","12","B+"
"13F","PHIL-037-01","12","A-"
"13F","PHIL-050-01","22","A-/B+"
"13F","PHIL-050-02","12","A"
"13F","PHIL-050-90","12","A /A-"
"13F","PHYS-003-01","111","A-"
"13F","PHYS-013-01","83","B+"
"13F","PHYS-013-02","83","B+"
"13F","PHYS-015-01","36","A-"
"13F","PHYS-019-01","20","A-"
"13F","PHYS-043-01","13","B+"
"13F","PHYS-047-01","11","A-"
"13F","PSYC-001-01","144","B"
"13F","PSYC-006-01","82","B+"
"13F","PSYC-010-01","55","A-"
"13F","PSYC-011-01","39","B+"
"13F","PSYC-024-01","72","B+"
"13F","PSYC-040-01","28","A-"
"13F","PSYC-044-01","42","A"
"13F","PSYC-045-01","34","A-/B+"
"13F","PSYC-050-01","24","A-"
"13F","PSYC-050-02","35","B+"
"13F","PSYC-051-01","37","A-"
"13F","PSYC-051-02","29","A-"
"13F","PSYC-053-01","30","A-/B+"
"13F","PSYC-065-01","35","B"
"13F","PSYC-065-04","11","B"
"13F","PSYC-083-01","20","A-"
"13F","PSYC-086-01","12","A"
"13F","QBS -175-01","14","A /A-"
"13F","REL -001-01","35","A-"
"13F","REL -003-01","18","A-"
"13F","REL -017-01","18","A"
"13F","REL -020-03","20","A-"
"13F","REL -033-01","12","A-"
"13F","REL -046-01","20","B+"
"13F","REL -065-01","98","A-"
"13F","RUSS-001-01","12","A-"
"13F","RUSS-013-01","45","A"
"13F","SART-015-01","18","A"
"13F","SART-015-02","16","A"
"13F","SART-015-03","18","A-"
"13F","SART-016-01","10","A-"
"13F","SART-025-02","11","A"
"13F","SOCY-001-01","78","B"
"13F","SOCY-010-01","24","A /A-"
"13F","SOCY-015-01","26","A-"
"13F","SOCY-028-01","36","A-/B+"
"13F","SOCY-035-01","26","A /A-"
"13F","SOCY-049-14","30","A-"
"13F","SOCY-079-04","28","A-"
"13F","SPAN-001-01","19","B+"
"13F","SPAN-001-02","21","A-"
"13F","SPAN-001-03","21","A-"
"13F","SPAN-001-04","22","A"
"13F","SPAN-002-01","19","A-"
"13F","SPAN-002-02","20","A-"
"13F","SPAN-002-03","18","A-"
"13F","SPAN-002-04","23","A-"
"13F","SPAN-002-05","15","A"
"13F","SPAN-003-01","13","A-"
"13F","SPAN-003-02","20","A-"
"13F","SPAN-003-03","22","A-"
"13F","SPAN-003-04","17","A-"
"13F","SPAN-009-01","18","A /A-"
"13F","SPAN-009-02","18","A-"
"13F","SPAN-009-03","13","A-"
"13F","SPAN-020-01","16","A /A-"
"13F","SPAN-020-02","13","A-"
"13F","SPAN-024-90","22","A-"
"13F","SPAN-032-01","18","A-"
"13F","SPAN-032-02","15","A-"
"13F","SPAN-034-90","22","A-"
"13F","SPAN-036-90","22","A-"
"13F","SPAN-040-01","14","A"
"13F","SPEE-020-01","14","A-"
"13F","SPEE-031-01","14","A-"
"13F","THEA-001-01","30","A"
"13F","THEA-015-01","17","A"
"13F","THEA-026-01","12","A"
"13F","THEA-030-01","16","A"
"13F","THEA-030-02","15","A"
"13F","THEA-040-01","16","A"
"13F","TUCK-002-01","64","B+"
"13F","TUCK-002-02","58","B+"
"13F","WGST-010-01","22","A /A-"
"13F","WGST-010-02","20","A-"
"13F","WGST-010-03","20","A /A-"
"13F","WGST-019-01","34","A"
"13F","WGST-036-01","24","A"
"13F","WGST-037-02","17","A"
"13F","WGST-040-01","17","A"
"13F","WGST-042-05","30","A-"
"13F","WGST-047-01","27","B+"
"13F","WGST-053-02","27","A"
"13F","WGST-056-01","33","A-"
"13F","WGST-066-05","11","A-"
"13F","WGST-080-01","14","A"
"13F","WRIT-002-01","14","B+"
"13F","WRIT-002-02","14","B+/B"
"13F","WRIT-002-03","13","A"
"13F","WRIT-002-04","15","B+"
"13F","WRIT-002-05","16","B+"
"13F","WRIT-002-06","15","A-"
"13F","WRIT-002-07","14","B+"
"13F","WRIT-002-08","14","A-"
"13F","WRIT-005-01","15","A-"
"13F","WRIT-005-02","16","A"
"13F","WRIT-005-03","15","A-"
"13F","WRIT-005-04","16","A /A-"
"13F","WRIT-005-05","16","A"
"13F","WRIT-005-06","16","B+"
"13F","WRIT-005-07","16","B+"
"13F","WRIT-005-08","16","A-/B+"
"13F","WRIT-005-09","16","A-"
"13F","WRIT-005-10","15","A-"
"13F","WRIT-005-11","16","A-"
"13F","WRIT-005-12","16","A-"
"13F","WRIT-005-13","16","A"
"13F","WRIT-005-14","16","A"
"13F","WRIT-005-15","15","A"
"13F","WRIT-005-16","14","A"
"13F","WRIT-005-17","16","B+"
"13F","WRIT-005-18","16","B+"
"13F","WRIT-005-19","16","A-"
"13F","WRIT-005-20","16","A-"
"13F","WRIT-005-21","13","B+"
"13F","WRIT-005-22","16","A-"
"13F","WRIT-005-23","16","A-/B+"
"13F","WRIT-005-24","16","A-"
"13F","WRIT-005-25","16","A-"
"13F","WRIT-005-26","10","A-/B+"
"13F","WRIT-005-28","16","B+"
"13F","WRIT-005-29","16","A-"
"13F","WRIT-005-30","16","A-"
"13F","WRIT-005-31","16","B+"
"13F","WRIT-005-32","16","A-"
"13F","WRIT-005-33","16","A /A-"
"13F","WRIT-005-34","16","A-/B+"
"TERM","COURSE","ENRL","MEDIAN"
"10W","AAAS00701","16","A-/B+"
"10W","AAAS01101","12","A-"
"10W","AAAS01401","22","B+"
"10W","AAAS01601","15","A-"
"10W","AAAS02401","15","B+"
"10W","AAAS04001","17","A-"
"10W","AAAS04401","15","A-"
"10W","AAAS04501","19","B+"
"10W","AAAS05201","17","A-"
"10W","AAAS05301","15","A-"
"10W","AAAS08501","15","B+"
"10W","AMES01201","22","A"
"10W","AMES02101","13","A-"
"10W","AMES03001","28","A /A-"
"10W","AMES04501","15","A-"
"10W","ANTH00301","69","B"
"10W","ANTH00401","29","A-"
"10W","ANTH00701","15","A-"
"10W","ANTH01701","44","B+"
"10W","ANTH02101","70","B+"
"10W","ANTH03401","11","A-"
"10W","ANTH03601","15","A-"
"10W","ANTH04301","15","B+"
"10W","ANTH04901","18","A-/B+"
"10W","ANTH05190","21","B+"
"10W","ANTH05290","16","B+"
"10W","ANTH05490","17","A-"
"10W","ARAB00201","13","A"
"10W","ARAB00202","14","A-"
"10W","ARAB08101","13","A"
"10W","ARTH00201","51","B+"
"10W","ARTH00401","62","B"
"10W","ARTH01701","12","A-/B+"
"10W","ARTH02201","20","A-"
"10W","ARTH06501","17","B+"
"10W","ARTH07001","10","A-/B+"
"10W","ARTH08201","10","A-"
"10W","BIOL00601","42","B+"
"10W","BIOL01101","97","B"
"10W","BIOL01301","80","B"
"10W","BIOL01401","83","B"
"10W","BIOL01501","25","B+"
"10W","BIOL02401","19","B"
"10W","BIOL02901","19","B+"
"10W","BIOL04201","23","B+"
"10W","BIOL04501","28","B+"
"10W","BIOL05590","19","A-"
"10W","BIOL05690","19","A-"
"10W","BIOL05790","19","B+"
"10W","BIOL06601","19","B+"
"10W","BIOL06701","10","A-"
"10W","BIOL07801","32","A-"
"10W","BIOL12801","19","B+"
"10W","CHEM00501","86","B"
"10W","CHEM00502","110","B"
"10W","CHEM05201","73","B"
"10W","CHEM05801","25","A-"
"10W","CHEM06401","31","B+"
"10W","CHEM07501","20","A-/B+"
"10W","CHEM08701","11","A"
"10W","CHIN00201","15","A-"
"10W","CHIN00202","14","B+"
"10W","CHIN01001","22","A"
"10W","CHIN02201","21","A-"
"10W","CHIN06202","20","A-"
"10W","CLST01101","15","A-"
"10W","CLST01801","26","B+"
"10W","CLST02001","21","B+"
"10W","COCO00201","12","A-"
"10W","COCO00601","19","A-"
"10W","COGS04401","10","A-"
"10W","COLT00701","11","B+"
"10W","COLT01001","18","A-"
"10W","COLT04201","15","A"
"10W","COLT04901","11","A"
"10W","COLT05501","10","A /A-"
"10W","COLT05701","20","A-"
"10W","COSC00201","20","A"
"10W","COSC00701","16","A-"
"10W","COSC00801","24","A-"
"10W","COSC01901","18","B"
"10W","COSC02301","10","A /A-"
"10W","COSC03201","17","A"
"10W","COSC03901","15","B+"
"10W","COSC04401","10","A-"
"10W","COSC09701","13","A"
"10W","EARS00201","44","A-"
"10W","EARS00701","13","B+"
"10W","EARS03701","10","B+"
"10W","EARS06501","13","A"
"10W","ECON00101","88","B"
"10W","ECON00102","88","B"
"10W","ECON00103","78","B"
"10W","ECON00104","78","B"
"10W","ECON01001","43","B"
"10W","ECON01002","43","B"
"10W","ECON02001","58","B"
"10W","ECON02002","58","B"
"10W","ECON02101","57","A-"
"10W","ECON02102","57","A-"
"10W","ECON02201","33","B+"
"10W","ECON02202","96","B+"
"10W","ECON02203","96","B+"
"10W","ECON02204","96","B+"
"10W","ECON02501","17","B"
"10W","ECON02601","37","B+"
"10W","ECON02602","37","B+"
"10W","ECON02901","36","B+"
"10W","ECON02902","36","B+"
"10W","ECON03501","23","A"
"10W","ECON03502","23","A"
"10W","ECON03601","53","B+"
"10W","ECON03602","53","B+"
"10W","ECON03603","53","B+"
"10W","ECON03901","49","B"
"10W","ECON03902","49","B"
"10W","ECON04401","26","A-/B+"
"10W","ECON04402","26","A-/B+"
"10W","ECON04601","25","A-"
"10W","ECON04602","25","A-"
"10W","ECON04801","19","A-"
"10W","ECON04802","19","A-"
"10W","ECON04901","25","A-"
"10W","ECON04902","25","A-"
"10W","ECON05501","67","B+"
"10W","EDUC00701","16","B+"
"10W","EDUC02901","30","B+"
"10W","EDUC05201","11","B+"
"10W","EDUC05801","21","A-"
"10W","EDUC06401","27","B+"
"10W","ENGL00701","16","A-/B+"
"10W","ENGL00702","15","A-"
"10W","ENGL00703","16","A-/B+"
"10W","ENGL01201","16","A-"
"10W","ENGL01801","43","A-"
"10W","ENGL01901","28","A-"
"10W","ENGL02401","26","A-/B+"
"10W","ENGL03401","26","A-/B+"
"10W","ENGL04101","41","A-"
"10W","ENGL04201","165","A-"
"10W","ENGL06007","11","A"
"10W","ENGL06008","52","A-"
"10W","ENGL06204","13","B+"
"10W","ENGL06502","21","A-"
"10W","ENGL07201","13","A"
"10W","ENGL08002","11","A-"
"10W","ENGL08003","11","A-"
"10W","ENGL08101","11","A-"
"10W","ENGL08201","13","A"
"10W","ENGS00101","20","A-"
"10W","ENGS00701","13","B+"
"10W","ENGS01001","62","A"
"10W","ENGS01201","19","A"
"10W","ENGS01501","13","A-"
"10W","ENGS02201","61","B+"
"10W","ENGS02401","29","B"
"10W","ENGS02701","29","A-"
"10W","ENGS03201","38","B"
"10W","ENGS03401","17","B+"
"10W","ENGS04301","20","B+"
"10W","ENGS04401","22","B+"
"10W","ENGS05201","17","A-"
"10W","ENGS06601","18","B"
"10W","ENGS29001","15","B+"
"10W","ENVS00101","24","B+"
"10W","ENVS00701","14","A-"
"10W","ENVS00702","16","A-"
"10W","ENVS01201","47","B+"
"10W","ENVS02001","15","B"
"10W","ENVS05501","67","B+"
"10W","ENVS06501","24","A"
"10W","ENVS08001","17","A"
"10W","FILM02101","11","B+"
"10W","FILM03001","11","A-"
"10W","FILM03301","15","A-"
"10W","FILM04101","55","B+"
"10W","FREN00101","18","A"
"10W","FREN00201","20","A-"
"10W","FREN00202","21","A"
"10W","FREN00203","18","A-"
"10W","FREN00301","13","A-"
"10W","FREN00302","21","A-"
"10W","FREN00392","11","A"
"10W","FREN00592","11","A"
"10W","FREN00692","11","A-"
"10W","FREN00701","16","A-/B+"
"10W","FREN00801","23","A-"
"10W","FREN01001","10","A-/B+"
"10W","FREN02301","18","A-"
"10W","FREN02990","16","A /A-"
"10W","FREN03090","16","A-"
"10W","FREN03190","16","A /A-"
"10W","FREN07801","11","A"
"10W","GEOG00101","48","A-"
"10W","GEOG00201","37","A-"
"10W","GEOG00501","25","B+"
"10W","GEOG01101","12","A-"
"10W","GEOG02201","33","B+"
"10W","GEOG02401","20","B+"
"10W","GEOG02601","19","A-"
"10W","GEOG04001","19","B+"
"10W","GEOG04801","11","A-"
"10W","GEOG05501","13","A"
"10W","GERM00101","12","A-"
"10W","GERM00201","14","A-"
"10W","GERM00202","10","A /A-"
"10W","GOVT00301","38","B+"
"10W","GOVT00401","46","B+"
"10W","GOVT00501","38","B+"
"10W","GOVT00502","98","B+"
"10W","GOVT00503","98","B+"
"10W","GOVT00601","42","B+"
"10W","GOVT00701","16","A-"
"10W","GOVT00702","15","A-"
"10W","GOVT01001","38","B"
"10W","GOVT01801","34","B"
"10W","GOVT03001","33","B+"
"10W","GOVT03801","33","B+"
"10W","GOVT04301","28","A-"
"10W","GOVT05001","33","B+"
"10W","GOVT05401","41","B+"
"10W","GOVT05402","20","A-"
"10W","GOVT06001","17","B+"
"10W","GOVT06101","14","B+"
"10W","GOVT06601","20","B+"
"10W","GOVT08103","15","A-"
"10W","GOVT08410","10","A-"
"10W","GOVT08423","13","A"
"10W","GOVT08507","14","A-"
"10W","GOVT08522","20","A-"
"10W","GOVT08603","15","A-"
"10W","GRK 00105","11","A"
"10W","GRK 00305","12","A /A-"
"10W","GRK 02001","10","A-"
"10W","HEBR00201","12","A"
"10W","HIST00501","22","B+"
"10W","HIST00505","37","A-"
"10W","HIST00601","66","B+/B"
"10W","HIST00701","13","A-"
"10W","HIST01201","31","B+"
"10W","HIST01801","11","A-"
"10W","HIST02301","21","B+"
"10W","HIST03601","39","B+"
"10W","HIST03701","15","B+"
"10W","HIST04301","33","A-"
"10W","HIST06501","43","B+"
"10W","HIST06801","17","A-"
"10W","HIST06901","15","A-"
"10W","HIST07601","11","B+"
"10W","HIST09402","10","A-/B+"
"10W","HIST09406","26","B+"
"10W","HIST09601","17","A-"
"10W","HIST09602","15","A-"
"10W","HIST09603","14","A-"
"10W","HUM 00202","11","A"
"10W","HUM 00203","10","A-/B+"
"10W","HUM 00204","10","A-"
"10W","INTS01701","20","A-"
"10W","INTS01801","37","A-"
"10W","ITAL00101","12","A-"
"10W","ITAL00102","15","A-"
"10W","ITAL00202","13","A"
"10W","ITAL00390","10","A-"
"10W","ITAL00590","10","A-"
"10W","ITAL00690","10","A-"
"10W","JAPN04201","12","A"
"10W","JAPN06201","13","A-"
"10W","JWST00701","16","A-/B+"
"10W","JWST02202","13","A"
"10W","JWST05301","32","A"
"10W","KORN06101","10","A /A-"
"10W","LACS00401","15","A-"
"10W","LACS04201","70","B+"
"10W","LAT 00101","18","B+"
"10W","LAT 00301","15","B+"
"10W","LAT 00302","18","A-"
"10W","LAT 00303","14","B+/B"
"10W","LATS04501","11","A-"
"10W","LING01001","21","A-"
"10W","LING01801","43","A-"
"10W","LING02502","10","A /A-"
"10W","MATH00201","31","B-"
"10W","MATH00202","31","B-"
"10W","MATH00301","48","B+"
"10W","MATH00401","16","A"
"10W","MATH00501","16","B+"
"10W","MATH00801","86","B"
"10W","MATH00802","86","B"
"10W","MATH01301","63","B+"
"10W","MATH01901","18","B"
"10W","MATH02301","54","A-"
"10W","MATH02401","17","A-"
"10W","MATH02801","15","B+"
"10W","MATH03201","25","A-"
"10W","MATH03501","24","B"
"10W","MATH05001","11","B"
"10W","MATH06301","24","A-"
"10W","MATH07601","17","A"
"10W","MATH08101","10","B+"
"10W","MICR16701","10","A-"
"10W","MUS 00401","28","A /A-"
"10W","MUS 00601","33","A-"
"10W","MUS 00901","38","A-"
"10W","MUS 02201","11","A-"
"10W","MUS 04501","15","A-"
"10W","MUS 05101","21","A"
"10W","NAS 01001","29","A-"
"10W","NAS 02201","47","A"
"10W","NAS 03401","52","A-"
"10W","NAS 08101","17","A-"
"10W","PBPL00501","90","B+"
"10W","PBPL04801","13","A-"
"10W","PBPL08202","22","B+"
"10W","PBPL09101","14","A"
"10W","PHIL00601","26","A-"
"10W","PHIL00801","41","B+"
"10W","PHIL01301","11","A-"
"10W","PHIL02201","20","A-/B+"
"10W","PHIL02401","30","B+"
"10W","PHIL02701","21","A-"
"10W","PHIL03001","13","A-"
"10W","PHIL03501","16","A-"
"10W","PHIL08001","22","A-"
"10W","PHYS00401","74","B+"
"10W","PHYS01301","36","B"
"10W","PHYS01302","55","B"
"10W","PHYS01401","53","B"
"10W","PHYS01601","26","A-"
"10W","PHYS02401","17","B+"
"10W","PHYS04101","11","B"
"10W","PHYS04801","38","B"
"10W","PSYC00101","65","B"
"10W","PSYC00601","168","B+"
"10W","PSYC00701","16","A"
"10W","PSYC00702","16","A-"
"10W","PSYC01101","49","B+"
"10W","PSYC02301","143","B+"
"10W","PSYC02601","62","B"
"10W","PSYC05002","28","A-/B+"
"10W","PSYC05201","38","B+"
"10W","PSYC05301","34","A-"
"10W","PSYC06001","16","A-"
"10W","PSYC06401","11","A"
"10W","PSYC08301","13","A-"
"10W","PSYC09001","13","A"
"10W","REL 00101","41","B+"
"10W","REL 00301","21","A-"
"10W","REL 00701","16","A-"
"10W","REL 01201","66","A-"
"10W","REL 01801","56","A-"
"10W","REL 01901","47","A"
"10W","REL 04201","29","A"
"10W","REL 04701","18","A-"
"10W","REL 05501","19","B+"
"10W","RUSS00201","18","A /A-"
"10W","RUSS01501","21","A"
"10W","RUSS03801","21","A-"
"10W","SART01501","19","B+"
"10W","SART01502","17","A"
"10W","SART01503","16","A-"
"10W","SART01601","10","A-"
"10W","SART02201","13","A"
"10W","SART02501","12","A /A-"
"10W","SART02701","10","A"
"10W","SART02901","10","A-"
"10W","SART07601","11","A-"
"10W","SART07602","12","A /A-"
"10W","SOCY00201","63","A"
"10W","SOCY00701","16","A-"
"10W","SOCY01501","21","A-"
"10W","SOCY02901","25","A-"
"10W","SOCY04907","15","A-"
"10W","SOCY04908","13","A"
"10W","SOCY07903","22","B+"
"10W","SOCY09101","21","A-"
"10W","SPAN00101","14","A-/B+"
"10W","SPAN00102","18","B"
"10W","SPAN00201","20","A-"
"10W","SPAN00202","22","A-"
"10W","SPAN00203","23","A-"
"10W","SPAN00204","20","A-/B+"
"10W","SPAN00301","20","A-"
"10W","SPAN00302","17","A-"
"10W","SPAN00303","20","B+"
"10W","SPAN00390","19","A-"
"10W","SPAN00391","20","A-"
"10W","SPAN00590","19","A-"
"10W","SPAN00591","20","A /A-"
"10W","SPAN00690","19","A-"
"10W","SPAN00691","20","A-"
"10W","SPAN00701","15","A-"
"10W","SPAN00901","20","A-"
"10W","SPAN00902","19","A"
"10W","SPAN01001","11","A-"
"10W","SPAN01002","12","A"
"10W","SPAN03101","23","A-"
"10W","SPAN03701","18","A"
"10W","SPAN04301","18","A-"
"10W","SPAN05001","14","A-"
"10W","SPEE02001","14","A-"
"10W","SPEE02002","15","A"
"10W","SPEE02501","14","A-"
"10W","SPEE02801","11","A"
"10W","THEA00701","10","A-/B+"
"10W","THEA01001","15","A"
"10W","THEA01003","21","A-"
"10W","THEA02601","15","A"
"10W","THEA03001","11","A"
"10W","THEA03101","11","A"
"10W","THEA03601","16","A"
"10W","THEA04001","18","A"
"10W","THEA04201","11","A"
"10W","THEA04401","14","A /A-"
"10W","THEA09001","10","A"
"10W","TUCK00101","35","B+"
"10W","TUCK00102","34","B+"
"10W","WGST00701","16","A"
"10W","WGST01001","33","A-"
"10W","WGST01501","24","A"
"10W","WGST02001","13","B+"
"10W","WGST03001","19","A-"
"10W","WGST03303","32","A"
"10W","WGST03402","17","A-"
"10W","WGST03403","41","A-"
"10W","WGST03603","15","B+"
"10W","WGST04304","29","A"
"10W","WGST04601","20","A-/B+"
"10W","WRIT00301","14","A"
"10W","WRIT00302","16","A-"
"10W","WRIT00303","15","A-"
"10W","WRIT00304","16","A /A-"
"10W","WRIT00305","15","B+"
"10W","WRIT00306","16","B+"
"10W","WRIT00307","15","A-"
"10W","WRIT00501","18","A-"
"10W","WRIT00502","18","A-"
"10W","WRIT00503","18","B+"
"10W","WRIT00504","18","A-"
"10W","WRIT00505","18","A"
"10W","WRIT00506","18","A-"
"10W","WRIT00507","18","B+"
